                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 2.4461,                 2.2156,                 1.3525,                 0.7906,                0.64185,                0.60264,                0.61009,                0.20369,                0.33776,                0.41175,                0.27341,                0.09638,                 2.5641,                 3.5999,                 1.2586,                0.88756,             0.00060847,             0.00060847,             0.00060847
                     90,                 2.3782,                 2.3223,                 1.2774,                0.79264,                0.64434,                0.59998,                0.60962,                0.20807,                0.33813,                0.42151,                0.26714,                0.10144,                  2.579,                 3.5394,                 1.2683,                0.88771,             0.00059904,             0.00059904,             0.00059904
                     91,                  2.233,                  2.175,                  1.164,                0.82227,                0.64434,                0.59998,                0.60962,                0.20807,                0.33813,                0.42151,                0.26714,                0.10144,                  2.579,                 3.5394,                 1.2683,                0.88771,             0.00058961,             0.00058961,             0.00058961
                     92,                 2.2159,                 2.2229,                 1.2212,                0.81663,                0.64434,                0.59998,                0.60962,                0.20807,                0.33813,                0.42151,                0.26714,                0.10144,                  2.579,                 3.5394,                 1.2683,                0.88771,             0.00058017,             0.00058017,             0.00058017
                     93,                 2.2439,                 2.0494,                 1.2297,                0.80468,                0.65524,                0.60379,                0.63461,                0.22599,                0.36004,                0.42923,                0.29352,                0.11391,                 2.5543,                 3.2493,                 1.2538,                0.88819,             0.00057074,             0.00057074,             0.00057074
                     94,                 2.2827,                 2.0683,                 1.1835,                0.80278,                0.65524,                0.60379,                0.63461,                0.22599,                0.36004,                0.42923,                0.29352,                0.11391,                 2.5543,                 3.2493,                 1.2538,                0.88819,             0.00056131,             0.00056131,             0.00056131
                     95,                 2.3284,                 2.0932,                 1.2544,                0.80491,                0.68433,                0.62368,                0.67745,                0.25093,                0.38155,                0.43309,                0.31124,                0.12325,                 2.5124,                 2.9727,                 1.2094,                0.88488,             0.00055188,             0.00055188,             0.00055188
                     96,                 2.4134,                 2.3128,                 1.2668,                0.79979,                0.68433,                0.62368,                0.67745,                0.25093,                0.38155,                0.43309,                0.31124,                0.12325,                 2.5124,                 2.9727,                 1.2094,                0.88488,             0.00054245,             0.00054245,             0.00054245
                     97,                 2.1891,                 2.1882,                 1.1477,                0.83186,                0.68433,                0.62368,                0.67745,                0.25093,                0.38155,                0.43309,                0.31124,                0.12325,                 2.5124,                 2.9727,                 1.2094,                0.88488,             0.00053302,             0.00053302,             0.00053302
                     98,                 2.1375,                  1.995,                 1.2292,                0.82289,                 0.7011,                0.63302,                 0.6972,                0.26868,                0.41022,                  0.448,                 0.3408,                0.13919,                 2.4437,                  2.844,                 1.1672,                0.88025,             0.00052359,             0.00052359,             0.00052359
                     99,                 2.3905,                  2.068,                 1.2665,                0.82803,                 0.7011,                0.63302,                 0.6972,                0.26868,                0.41022,                  0.448,                 0.3408,                0.13919,                 2.4437,                  2.844,                 1.1672,                0.88025,             0.00051415,             0.00051415,             0.00051415
                    100,                 2.3134,                 2.2553,                 1.2248,                0.81681,                0.71425,                0.64599,                0.71074,                0.27579,                0.41637,                0.45772,                0.35366,                0.14271,                 2.4183,                 2.9661,                 1.1617,                0.87784,             0.00050472,             0.00050472,             0.00050472
                    101,                 2.3131,                 2.3855,                 1.2604,                0.81891,                0.71425,                0.64599,                0.71074,                0.27579,                0.41637,                0.45772,                0.35366,                0.14271,                 2.4183,                 2.9661,                 1.1617,                0.87784,             0.00049529,             0.00049529,             0.00049529
